,Unnamed: 0,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,batch_size,dropout,lr,optimizer,units
1101,789,08/18/21-132039,08/18/21-132047,8.614690065383911,1,4.167501449584962,0.1123666688799858,4.1783695220947275,0.11349999904632567,20,0.4,5.0,RMSprop_10,250
1102,1709,08/19/21-030751,08/19/21-030757,5.663525342941284,1,2.30805778503418,0.1123666688799858,2.307145595550537,0.11349999904632567,35,0.5,2.0,Adagrad_6,250
1103,420,08/18/21-054358,08/18/21-054412,14.567147970199585,1,3.3940391540527344,0.1123666688799858,3.400258302688598,0.11349999904632567,15,0.3,5.0,AdaBeliefOptimizer_1,250
1104,61,08/17/21-190638,08/17/21-190656,18.28678250312805,1,3.4925928115844727,0.1123666688799858,3.4893081188201904,0.11349999904632567,10,0.2,5.0,AdaBeliefOptimizer_2,250
1105,1536,08/19/21-005950,08/19/21-005959,8.718974590301514,1,2.3074843883514404,0.1123666688799858,2.307168245315552,0.11349999904632567,35,0.3,0.1,AdaBeliefOptimizer_1,250
1106,1362,08/18/21-222113,08/18/21-222119,6.251537799835205,1,2.4154295921325684,0.1123666688799858,2.4200453758239746,0.11349999904632567,30,0.4,5.0,Adamax_7,250
1107,1553,08/19/21-010926,08/19/21-010932,5.642972707748412,1,2.306044340133667,0.1123666688799858,2.3060665130615234,0.11349999904632567,35,0.3,1.0,Adagrad_6,250
1108,1556,08/19/21-010946,08/19/21-010953,7.354065179824829,1,7.542419910430907,0.1123666688799858,6.169434070587157,0.11349999904632567,35,0.3,1.0,RMSprop_9,250
1109,275,08/18/21-021718,08/18/21-021727,9.263433694839476,1,2.368685483932495,0.1123666688799858,2.365553617477417,0.11349999904632567,10,0.5,2.0,SGD_12,250
1110,1498,08/19/21-001709,08/19/21-001714,5.416156053543091,1,2.309380292892456,0.1123666688799858,2.30859899520874,0.11349999904632567,35,0.2,2.0,SGD_11,250
1111,1649,08/19/21-021345,08/19/21-021351,5.639222860336304,1,2.32135009765625,0.1123666688799858,2.320329189300537,0.11349999904632567,35,0.4,5.0,Adagrad_6,250
1112,259,08/18/21-020948,08/18/21-021004,16.66844654083252,1,2.3894598484039307,0.1123666688799858,2.3875088691711426,0.11349999904632567,10,0.5,1.0,Nadam_8,250
1113,1263,08/18/21-211210,08/18/21-211216,6.097218036651611,1,2.4738333225250244,0.1123666688799858,2.4699151515960693,0.11349999904632567,30,0.3,1.0,Adam_4,250
1114,1577,08/19/21-011712,08/19/21-011718,5.766169309616089,1,2.3204140663146973,0.1123666688799858,2.320566415786743,0.11349999904632567,35,0.3,5.0,Adagrad_6,250
1115,1651,08/19/21-021357,08/19/21-021405,7.692046642303468,1,4.978952407836914,0.1123666688799858,4.967212677001953,0.11349999904632567,35,0.4,5.0,Nadam_8,250
1116,1280,08/18/21-211753,08/18/21-211801,7.852946043014526,1,2.8171007633209233,0.1123666688799858,10.039663314819336,0.11349999904632567,30,0.3,2.0,RMSprop_9,250
1117,1285,08/18/21-211829,08/18/21-211838,8.968625783920286,1,3.026658296585083,0.1123666688799858,3.023545503616333,0.11349999904632567,30,0.3,5.0,AdaBeliefOptimizer_2,250
1118,1695,08/19/21-030113,08/19/21-030119,5.9379613399505615,1,2.372731924057007,0.1123666688799858,2.3696422576904297,0.11349999904632567,35,0.5,1.0,Adam_4,250
1119,1791,08/19/21-040033,08/19/21-040039,5.751629590988159,1,354.4060974121094,0.1123666688799858,523.9068603515625,0.11349999904632567,40,0.2,5.0,Adam_4,250
1120,491,08/18/21-072451,08/18/21-072459,7.215980529785156,1,2.3802504539489746,0.1123666688799858,2.381310224533081,0.11349999904632567,15,0.4,2.0,SGD_12,250
1121,1790,08/19/21-040027,08/19/21-040033,6.085697650909424,1,2.4647016525268555,0.1123666688799858,2.4610958099365234,0.11349999904632567,40,0.2,5.0,Adam_3,250
1122,489,08/18/21-072434,08/18/21-072444,9.941425085067747,1,3.061936140060425,0.1123666688799858,3.076600790023804,0.11349999904632567,15,0.4,2.0,RMSprop_10,250
1123,488,08/18/21-072422,08/18/21-072434,11.74967908859253,1,2.9285871982574463,0.1123666688799858,2.9186325073242188,0.11349999904632567,15,0.4,2.0,RMSprop_9,250
1124,847,08/18/21-143821,08/18/21-143831,10.363250732421877,1,2.5839240550994877,0.1123666688799858,2.577569961547852,0.11349999904632567,20,0.5,2.0,Nadam_8,250
1125,1565,08/19/21-011427,08/19/21-011432,5.655622482299805,1,2.310181140899658,0.1123666688799858,2.3079602718353267,0.11349999904632567,35,0.3,2.0,Adagrad_6,250
1126,1781,08/19/21-035927,08/19/21-035932,5.526709794998169,1,2.3041179180145264,0.1123666688799858,2.3039958477020264,0.11349999904632567,40,0.2,2.0,Adagrad_6,250
1127,1322,08/18/21-220424,08/18/21-220431,6.6292974948883066,1,2.3056674003601074,0.1123666688799858,2.30600380897522,0.11349999904632567,30,0.4,0.1,Adam_3,250
1128,1697,08/19/21-030250,08/19/21-030256,5.6677985191345215,1,2.3054471015930176,0.1123666688799858,2.3057503700256348,0.11349999904632567,35,0.5,1.0,Adagrad_6,250
1129,761,08/18/21-131204,08/18/21-131211,7.300530195236206,1,2.303567886352539,0.1123666688799858,2.3036909103393555,0.11349999904632567,20,0.4,1.0,Adagrad_6,250
