,Unnamed: 0,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,batch_size,lr,optimizer,units
201,91,08/16/21-195951,08/16/21-200425,273.8455007076264,1,0.08782732486724854,0.9759166836738586,0.15553823113441467,0.9674000144004822,15,0.01,Nadam_8,250
202,172,08/16/21-214634,08/16/21-214853,138.1633846759796,1,0.09415804594755173,0.9729833602905272,0.10947381705045699,0.9659000039100648,20,0.1,Adadelta_5,250
203,87,08/16/21-195201,08/16/21-195439,157.78818273544314,1,0.10583368688821793,0.9690333604812622,0.14584335684776306,0.9649999737739564,15,0.01,Adam_4,250
204,244,08/16/21-230432,08/16/21-230623,110.7152464389801,1,0.10352377593517303,0.9701666831970216,0.1167384311556816,0.964900016784668,25,0.1,Adadelta_5,250
205,19,08/16/21-174844,08/16/21-175527,402.8041796684265,1,0.12510140240192413,0.9682499766349792,0.16745862364768982,0.963699996471405,10,0.01,Nadam_8,250
206,125,08/16/21-203938,08/16/21-204201,143.17648577690125,1,0.0819460079073906,0.9763833284378052,0.143466055393219,0.9635000228881836,15,2.0,Adagrad_6,250
207,316,08/17/21-000920,08/17/21-001055,95.17213916778564,1,0.10819604247808456,0.9687333106994628,0.1196196749806404,0.9632999897003174,30,0.1,Adadelta_5,250
208,85,08/16/21-194346,08/16/21-194854,307.4621205329895,1,0.10269802063703536,0.9703666567802428,0.1550915390253067,0.9629999995231628,15,0.01,AdaBeliefOptimizer_2,250
209,15,08/16/21-173731,08/16/21-174117,226.32128715515137,1,0.1241626888513565,0.9678333401679992,0.16662238538265228,0.962499976158142,10,0.01,Adam_4,250
210,388,08/17/21-010655,08/17/21-010822,87.10589385032654,1,0.11358442902565002,0.9666500091552734,0.12362407147884368,0.9624000191688538,35,0.1,Adadelta_5,250
211,17,08/16/21-174129,08/16/21-174453,204.0337026119232,1,0.11276572942733765,0.9678999781608582,0.12426923960447313,0.9621999859809875,10,0.01,Adagrad_6,250
212,22,08/16/21-180629,08/16/21-180929,180.1314423084259,1,0.11878990381956099,0.965749979019165,0.13045156002044678,0.9609000086784364,10,0.01,SGD_11,250
213,460,08/17/21-015914,08/17/21-020032,77.96836423873901,1,0.12462592124938965,0.9634666442871094,0.13260582089424133,0.9603000283241272,40,0.1,Adadelta_5,250
214,23,08/16/21-180929,08/16/21-181229,180.52775073051453,1,0.12103115022182465,0.9651666879653932,0.1320234090089798,0.9599000215530396,10,0.01,SGD_12,250
215,89,08/16/21-195448,08/16/21-195708,140.47700071334842,1,0.13192002475261688,0.9621833562850952,0.14047785103321075,0.9573000073432922,15,0.01,Adagrad_6,250
216,13,08/16/21-172540,08/16/21-173305,445.5236256122589,1,0.1587718278169632,0.959916651248932,0.20120668411254886,0.9542999863624572,10,0.01,AdaBeliefOptimizer_2,250
217,161,08/16/21-213156,08/16/21-213354,118.42464470863342,1,0.149463951587677,0.9569500088691713,0.15531007945537567,0.9542999863624572,20,0.01,Adagrad_6,250
218,233,08/16/21-225229,08/16/21-225402,93.42802119255066,1,0.16421125829219818,0.9527666568756104,0.16915875673294067,0.9501000046730042,25,0.01,Adagrad_6,250
219,95,08/16/21-201212,08/16/21-201415,123.83288049697876,1,0.17102614045143127,0.9501000046730042,0.17452472448349,0.9487000107765198,15,0.01,SGD_12,250
220,305,08/16/21-235856,08/17/21-000018,81.98368358612059,1,0.1770130693912506,0.9494333267211914,0.18095821142196652,0.9470999836921692,30,0.01,Adagrad_6,250
221,377,08/17/21-005733,08/17/21-005849,75.94502949714659,1,0.19005519151687625,0.9456499814987184,0.19239650666713715,0.9435999989509584,35,0.01,Adagrad_6,250
222,449,08/17/21-015053,08/17/21-015201,67.43088436126709,1,0.20052900910377505,0.942200005054474,0.2030116468667984,0.9405999779701232,40,0.01,Adagrad_6,250
223,143,08/16/21-205136,08/16/21-205346,129.59264969825745,1,0.3992392122745514,0.9009166955947876,0.3860785365104675,0.9063000082969666,15,5.0,SGD_12,250
224,94,08/16/21-201204,08/16/21-201212,7.201191186904907,1,1.0573449134826658,0.7313666939735413,1.041732907295227,0.7390999794006348,15,0.01,SGD_11,250
225,457,08/17/21-015854,08/17/21-015902,8.27716064453125,1,1.091892957687378,0.7220333218574524,1.0616551637649536,0.7287999987602234,40,0.1,AdaBeliefOptimizer_2,250
226,53,08/16/21-185237,08/16/21-185248,10.259565353393556,1,0.8353013396263123,0.7228666543960571,0.8239732384681702,0.7221000194549559,10,2.0,Adagrad_6,250
227,384,08/17/21-010624,08/17/21-010633,9.095131635665895,1,1.0450903177261353,0.6989166736602783,1.0586603879928589,0.7045999765396118,35,0.1,AdaBeliefOptimizer_1,250
228,312,08/17/21-000847,08/17/21-000857,9.808295488357542,1,1.0649923086166382,0.6759666800498962,1.0175358057022097,0.6818000078201294,30,0.1,AdaBeliefOptimizer_1,250
229,16,08/16/21-174117,08/16/21-174128,11.31248688697815,1,1.820899248123169,0.6594666838645935,1.8112229108810425,0.6751000285148621,10,0.01,Adadelta_5,250
230,167,08/16/21-214546,08/16/21-214553,6.8057146072387695,1,1.4472994804382324,0.6668166518211365,1.4299601316452026,0.6747000217437744,20,0.01,SGD_12,250
231,238,08/16/21-230343,08/16/21-230349,6.060986757278442,1,1.7362587451934814,0.6488500237464905,1.7217377424240112,0.6579999923706055,25,0.01,SGD_11,250
232,232,08/16/21-225222,08/16/21-225229,7.027220726013184,1,2.1085805892944336,0.6337500214576721,2.1041920185089107,0.6452000141143799,25,0.01,Adadelta_5,250
233,168,08/16/21-214553,08/16/21-214606,12.577736377716064,1,1.5317143201828003,0.6316999793052673,1.4676129817962646,0.6414999961853027,20,0.1,AdaBeliefOptimizer_1,250
234,88,08/16/21-195439,08/16/21-195448,8.685051679611206,1,1.973212718963623,0.6231333613395691,1.966819167137146,0.6377999782562256,15,0.01,Adadelta_5,250
235,310,08/17/21-000836,08/17/21-000841,5.507296323776245,1,1.900767922401428,0.6301500201225281,1.8917750120162964,0.6355000138282776,30,0.01,SGD_11,250
236,166,08/16/21-214539,08/16/21-214546,6.929556846618652,1,1.4565194845199585,0.6275833249092102,1.4447736740112305,0.6330999732017517,20,0.01,SGD_11,250
237,456,08/17/21-015845,08/17/21-015853,8.651931285858153,1,1.5105253458023071,0.6208999752998352,1.5088751316070557,0.6317999958992004,40,0.1,AdaBeliefOptimizer_1,250
238,313,08/17/21-000857,08/17/21-000907,9.535438776016237,1,1.7503889799118042,0.6351333260536194,1.7406569719314575,0.628000020980835,30,0.1,AdaBeliefOptimizer_2,250
239,239,08/16/21-230349,08/16/21-230355,6.126282691955566,1,1.6872599124908447,0.6161166429519653,1.6764906644821167,0.6258000135421753,25,0.01,SGD_12,250
240,385,08/17/21-010633,08/17/21-010642,8.703153848648071,1,1.3520100116729736,0.6252999901771545,1.3610568046569824,0.6255999803543091,35,0.1,AdaBeliefOptimizer_2,250
241,311,08/17/21-000842,08/17/21-000847,5.511312007904053,1,1.9226938486099243,0.6044666767120361,1.9158642292022705,0.6194000244140625,30,0.01,SGD_12,250
242,240,08/16/21-230355,08/16/21-230406,11.135606288909912,1,1.673105001449585,0.6157500147819519,1.6524043083190918,0.618399977684021,25,0.1,AdaBeliefOptimizer_1,250
243,176,08/16/21-215112,08/16/21-215123,10.307036161422731,1,4.371473312377931,0.6160833239555359,4.309275627136231,0.6179999709129333,20,0.1,RMSprop_9,250
244,5,08/16/21-165519,08/16/21-165529,10.044198274612429,1,2.0614535808563232,0.5966833233833313,2.0570085048675537,0.6043999791145325,10,0.001,Adagrad_6,250
245,160,08/16/21-213148,08/16/21-213156,7.802390575408935,1,2.051755428314209,0.5847833156585693,2.0456478595733643,0.5982000231742859,20,0.01,Adadelta_5,250
246,77,08/16/21-192254,08/16/21-192302,7.773168087005615,1,2.144554615020752,0.5389666557312012,2.1403760910034184,0.557200014591217,15,0.001,Adagrad_6,250
247,241,08/16/21-230407,08/16/21-230417,10.515382528305055,1,1.892449140548706,0.5491666793823242,1.8690011501312256,0.5529999732971191,25,0.1,AdaBeliefOptimizer_2,250
248,455,08/17/21-015839,08/17/21-015845,5.3092041015625,1,2.0621614456176762,0.5482666492462158,2.058968067169189,0.544700026512146,40,0.01,SGD_12,250
249,169,08/16/21-214606,08/16/21-214618,11.7844877243042,1,1.9045079946517944,0.5275499820709229,1.8848066329956052,0.5346000194549559,20,0.1,AdaBeliefOptimizer_2,250
250,448,08/17/21-015047,08/17/21-015053,5.8809378147125235,1,2.176513433456421,0.5193499922752379,2.174683094024658,0.5313000082969666,40,0.01,Adadelta_5,250
251,304,08/16/21-235849,08/16/21-235856,6.60455322265625,1,2.146656990051269,0.508316695690155,2.143176794052124,0.5231999754905701,30,0.01,Adadelta_5,250
252,383,08/17/21-010618,08/17/21-010624,5.361121416091919,1,2.0063681602478027,0.5088000297546387,2.00217080116272,0.4979999959468842,35,0.01,SGD_12,250
253,454,08/17/21-015834,08/17/21-015839,5.273916244506836,1,2.0687427520751958,0.4754833281040192,2.063231945037842,0.4758999943733215,40,0.01,SGD_11,250
254,376,08/17/21-005727,08/17/21-005733,6.016576290130615,1,2.153939962387085,0.4377833306789398,2.14961051940918,0.4546000063419342,35,0.01,Adadelta_5,250
255,382,08/17/21-010613,08/17/21-010618,5.356959581375122,1,1.9963027238845823,0.4381333291530609,1.9885116815567017,0.4442999958992005,35,0.01,SGD_11,250
256,149,08/16/21-210646,08/16/21-210653,7.173855066299439,1,2.19907283782959,0.4153999984264374,2.1974496841430664,0.4334999918937683,20,0.001,Adagrad_6,250
257,293,08/16/21-234125,08/16/21-234131,5.731726884841919,1,2.238532304763794,0.4251999855041504,2.236816644668579,0.4323999881744385,30,0.001,Adagrad_6,250
258,102,08/16/21-202011,08/16/21-202019,8.737647294998169,1,1.439298152923584,0.4176500141620636,1.4533374309539795,0.4189999997615814,15,0.1,Adamax_7,250
259,10,08/16/21-171711,08/16/21-171720,9.357818841934202,1,2.2208847999572754,0.4014166593551636,2.218745708465576,0.4124999940395355,10,0.001,SGD_11,250
260,437,08/17/21-013649,08/17/21-013655,5.774803400039673,1,2.2475662231445312,0.3723333477973938,2.245457649230957,0.391400009393692,40,0.001,Adagrad_6,250
261,96,08/16/21-201416,08/16/21-201431,15.156412363052368,1,1.9489690065383911,0.36061665415763855,1.9389106035232544,0.3641000092029572,15,0.1,AdaBeliefOptimizer_1,250
262,97,08/16/21-201431,08/16/21-201445,14.036913633346558,1,2.4490456581115723,0.34341666102409363,2.409266710281372,0.35269999504089355,15,0.1,AdaBeliefOptimizer_2,250
263,83,08/16/21-193808,08/16/21-193815,7.238004684448242,1,2.2537517547607417,0.33648332953453064,2.2527964115142822,0.35089999437332153,15,0.001,SGD_12,250
264,154,08/16/21-211832,08/16/21-211839,6.840891122817992,1,2.2626495361328125,0.34060001373291016,2.26123571395874,0.34360000491142273,20,0.001,SGD_11,250
265,155,08/16/21-211839,08/16/21-211846,6.862497091293335,1,2.268153667449951,0.30773332715034485,2.267024040222168,0.31839999556541443,20,0.001,SGD_12,250
266,221,08/16/21-223149,08/16/21-223156,6.522320508956909,1,2.235194683074951,0.2805666625499725,2.234208106994629,0.28349998593330383,25,0.001,Adagrad_6,250
267,11,08/16/21-171721,08/16/21-171730,9.242575883865355,1,2.2333498001098637,0.2697666585445404,2.232394933700561,0.2741000056266785,10,0.001,SGD_12,250
268,227,08/16/21-224137,08/16/21-224143,6.170510292053223,1,2.27517318725586,0.2611333429813385,2.275019407272339,0.2578000128269196,25,0.001,SGD_12,250
269,298,08/16/21-234939,08/16/21-234945,5.500133752822876,1,2.274359941482544,0.2462500035762787,2.2741146087646484,0.24560000002384186,30,0.001,SGD_11,250
270,4,08/16/21-165508,08/16/21-165519,11.42272686958313,1,2.285153150558472,0.2127666622400284,2.2838568687438965,0.2291000038385391,10,0.001,Adadelta_5,250
271,82,08/16/21-193800,08/16/21-193808,7.170692682266235,1,2.262437343597412,0.20293332636356354,2.261089324951172,0.20630000531673431,15,0.001,SGD_11,250
272,24,08/16/21-181230,08/16/21-181250,20.18420386314392,1,2.62212347984314,0.20319999754428866,2.610753059387207,0.20190000534057614,10,0.1,AdaBeliefOptimizer_1,250
273,365,08/17/21-004143,08/17/21-004149,5.6438961029052725,1,2.2477145195007324,0.19499999284744265,2.2461252212524414,0.19769999384880066,35,0.001,Adagrad_6,250
274,443,08/17/21-014328,08/17/21-014333,5.275073051452637,1,2.284482002258301,0.18713332712650302,2.282610893249512,0.193000003695488,40,0.001,SGD_12,250
275,318,08/17/21-001217,08/17/21-001224,6.471726179122925,1,2.107689619064331,0.1928499937057495,2.11643648147583,0.1924999952316284,30,0.1,Adamax_7,250
276,25,08/16/21-181250,08/16/21-181309,18.87141489982605,1,2.904118537902832,0.18958333134651184,2.9051909446716313,0.19140000641345975,10,0.1,AdaBeliefOptimizer_2,250
277,76,08/16/21-192245,08/16/21-192254,8.635852575302124,1,2.306797504425049,0.1835833340883255,2.306121587753296,0.18729999661445615,15,0.001,Adadelta_5,250
278,105,08/16/21-202044,08/16/21-202054,10.166314363479612,1,11.950077056884766,0.1684499979019165,11.949285507202148,0.1696999967098236,15,0.1,RMSprop_10,250
279,174,08/16/21-215053,08/16/21-215101,8.005308389663696,1,2.310912847518921,0.173266664147377,2.3207333087921143,0.16509999334812164,20,0.1,Adamax_7,250
280,299,08/16/21-234945,08/16/21-234950,5.467417240142822,1,2.278658628463745,0.15151666104793549,2.277777910232544,0.15369999408721924,30,0.001,SGD_12,250
281,370,08/17/21-004905,08/17/21-004910,5.360737323760986,1,2.280845642089844,0.1394333392381668,2.2800111770629883,0.14159999787807465,35,0.001,SGD_11,250
282,148,08/16/21-210638,08/16/21-210646,7.875227689743043,1,2.3093678951263428,0.13860000669956207,2.3082683086395264,0.1370999962091446,20,0.001,Adadelta_5,250
283,442,08/17/21-014323,08/17/21-014328,5.333134651184082,1,2.2859809398651123,0.13439999520778656,2.2850773334503174,0.13590000569820404,40,0.001,SGD_11,250
284,371,08/17/21-004911,08/17/21-004916,5.339524507522583,1,2.286885976791382,0.12174999713897705,2.286009788513184,0.1242000013589859,35,0.001,SGD_12,250
285,226,08/16/21-224131,08/16/21-224137,6.0595343112945566,1,2.2756478786468506,0.11906666308641435,2.275096893310547,0.1216999962925911,25,0.001,SGD_11,250
286,436,08/17/21-013643,08/17/21-013649,6.151632308959961,1,2.368685483932495,0.11665000021457672,2.3648719787597656,0.12129999697208405,40,0.001,Adadelta_5,250
287,177,08/16/21-215123,08/16/21-215132,8.862239837646484,1,12.249407768249512,0.1123666688799858,12.256298065185547,0.11349999904632567,20,0.1,RMSprop_10,250
288,193,08/16/21-220437,08/16/21-220449,11.7048819065094,1,2.5858726501464844,0.1123666688799858,2.585391044616699,0.11349999904632567,20,2.0,AdaBeliefOptimizer_2,250
289,414,08/17/21-012147,08/17/21-012153,6.230010509490968,1,21.027589797973636,0.1123666688799858,20.96784782409668,0.11349999904632567,35,2.0,Adamax_7,250
290,417,08/17/21-012209,08/17/21-012216,6.750885009765625,1,395.960693359375,0.1123666688799858,394.7428894042969,0.11349999904632567,35,2.0,RMSprop_10,250
291,249,08/16/21-230824,08/16/21-230832,8.080219030380249,1,11.97387981414795,0.1123666688799858,11.917277336120605,0.11349999904632567,25,0.1,RMSprop_10,250
292,266,08/16/21-231910,08/16/21-231918,7.5255258083343515,1,83.12815856933594,0.1123666688799858,82.8870849609375,0.11349999904632567,25,2.0,Adam_3,250
293,480,08/17/21-020938,08/17/21-020946,8.714425325393679,1,2.423485517501831,0.1123666688799858,2.4238476753234863,0.11349999904632567,40,2.0,AdaBeliefOptimizer_1,250
294,351,08/17/21-002849,08/17/21-002856,6.522980451583862,1,371.624267578125,0.1123666688799858,371.28424072265625,0.11349999904632567,30,5.0,Adam_4,250
295,420,08/17/21-012437,08/17/21-012446,9.13981866836548,1,2.701961040496826,0.1123666688799858,2.6982100009918213,0.11349999904632567,35,5.0,AdaBeliefOptimizer_1,250
296,98,08/16/21-201445,08/16/21-201454,9.479202032089232,1,4.5065646171569815,0.1123666688799858,4.501835823059082,0.11349999904632567,15,0.1,Adam_3,250
297,140,08/16/21-205106,08/16/21-205118,11.847584962844849,1,1302.298095703125,0.1123666688799858,1297.1533203125,0.11349999904632567,15,5.0,RMSprop_9,250
298,103,08/16/21-202020,08/16/21-202032,12.574615240097046,1,2.964766263961792,0.1123666688799858,2.9581923484802246,0.11349999904632567,15,0.1,Nadam_8,250
299,127,08/16/21-204210,08/16/21-204223,12.636072397232056,1,151.7030029296875,0.1123666688799858,150.9717254638672,0.11349999904632567,15,2.0,Nadam_8,250
300,242,08/16/21-230417,08/16/21-230425,7.547576189041138,1,2.772812843322754,0.1123666688799858,2.7755568027496342,0.11349999904632567,25,0.1,Adam_3,250
301,282,08/16/21-232855,08/16/21-232902,7.15842080116272,1,119.96128845214844,0.1123666688799858,120.18102264404295,0.11349999904632567,25,5.0,Adamax_7,250
